"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Search returns products matching the query","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_search_api","",""
"","636","Resetting the search restores the full grid","tests.ui","Wed Sep 23 07:54:39 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_search","",""
"","0","test_a_result_with_no_verdict_is_counted_as_unknown","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","264","test_a_source_states_the_number_of_cases_pytest_collects[cover.html-N of them in the smoke set]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"","8","GET /products returns a populated first page","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_products_api","",""
"","0","test_a_picture_the_readme_shows_is_committed[showcase/images/ci-run.png]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_readme_pictures","",""
"","1","test_missing_diagrams_are_said_in_words_not_shown_as_broken_images","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1006","Removing the only line empties the cart","tests.ui","Wed Sep 23 07:54:31 UTC 2026","passed","Wed Sep 23 07:54:32 UTC 2026","","test_cart","",""
"","1","test_a_run_url_that_is_not_a_link_is_dropped_rather_than_rendered","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","240","test_a_source_states_the_number_of_cases_pytest_collects[architecture.svg-tests/api]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_figures","",""
"","264","test_a_source_states_the_number_of_cases_pytest_collects[cover.html-N tests passed]","tests.unit","Wed Sep 23 07:54:41 UTC 2026","passed","Wed Sep 23 07:54:41 UTC 2026","","test_showcase_figures","",""
"","8","Every product carries the fields the storefront renders","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_products_api","",""
"","518","A search with no matches shows an empty grid, not an error page","tests.ui","Wed Sep 23 07:54:39 UTC 2026","passed","Wed Sep 23 07:54:39 UTC 2026","","test_search","",""
"","11","Categories expose a parent-child hierarchy","tests.api","Wed Sep 23 07:54:24 UTC 2026","passed","Wed Sep 23 07:54:24 UTC 2026","","test_catalog_api","",""
"An entry with no matched status silently groups nothing.","0","test_every_category_says_which_statuses_it_groups","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_report_inputs","",""
"","2","test_a_test_that_only_passed_on_a_rerun_is_named_on_the_page","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","445","A malformed address is rejected: @example.com","tests.ui","Wed Sep 23 07:54:36 UTC 2026","passed","Wed Sep 23 07:54:36 UTC 2026","","test_contact_form","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[README.md-Smoke (of the cases above)]","tests.unit","Wed Sep 23 07:54:42 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"","0","test_a_source_states_the_number_of_cases_pytest_collects[README.md-E2E]","tests.unit","Wed Sep 23 07:54:42 UTC 2026","passed","Wed Sep 23 07:54:42 UTC 2026","","test_showcase_figures","",""
"","1","test_record_video_reads_the_environment[1-True]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_config","",""
"The publish step picks by name; this module has to pick the same file.","1","test_the_complete_order_flow_is_preferred_over_the_shorter_one","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"Allure counts the last attempt; a page that disagreed would be wrong.","0","test_the_verdict_is_the_attempt_the_report_shows","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_showcase_build","",""
"","1","test_record_video_reads_the_environment[-False]","tests.unit","Wed Sep 23 07:54:40 UTC 2026","passed","Wed Sep 23 07:54:40 UTC 2026","","test_config","",""
"","436","Sorting by name Z to A reverses the alphabetical order","tests.ui","Wed Sep 23 07:54:33 UTC 2026","passed","Wed Sep 23 07:54:34 UTC 2026","","test_catalog","",""
